,ID,hourtime,daytime,new_date,new_days,new_months,new_years,Type,real_fatal
1370,2005.04.16.b,NoDoc,NotDoc,2005.04.16,16,Abr,2005,Unprovoked,NO
1371,2005.04.16.a,06,Morning,2005.04.16,16,Abr,2005,Unprovoked,NO
1372,2005.04.13,NoDoc,NotDoc,2005.04.13,13,Abr,2005,Unprovoked,NO
1373,2005.04.09,NoDoc,NotDoc,2005.04.09,09,Abr,2005,Invalid,NO
1374,2005.04.07,19,Sunset,2005.04.07,07,Abr,2005,Unprovoked,NO
1375,2005.04.06,NoDoc,NotDoc,2005.04.06,06,Abr,2005,Unprovoked,NO
1376,2005.04.06,NoDoc,NotDoc,2005.04.06,06,Abr,2005,Invalid,NO
1377,2005.03.28,09,Morning,2005.03.28,28,Mar,2005,Unprovoked,NO
1378,2005.03.27.R,NoDoc,NotDoc,2005.03.27,27,Mar,2005,Unprovoked,NO
1379,2005.03.25,17,Sunset,2005.03.25,25,Mar,2005,Unprovoked,NO
1380,2005.03.19,14,Afternoon,2005.03.19,19,Mar,2005,Unprovoked,YES
1381,2005.03.12,15,Afternoon,2005.03.12,12,Mar,2005,Provoked,NO
1382,2005.03.10,NoDoc,NotDoc,2005.03.10,10,Mar,2005,Invalid,NO
1383,2005.03.09,14,Afternoon,2005.03.09,09,Mar,2005,Provoked,NO
1384,2005.03.05,NoDoc,NotDoc,2005.03.05,05,Mar,2005,Unprovoked,NO
1385,2005.02.26,NoDoc,NotDoc,2005.02.26,26,Feb,2005,Unprovoked,NO
1386,2005.02.22,NoDoc,NotDoc,2005.02.22,22,Feb,2005,Provoked,NO
1387,2005.02.16,14,Afternoon,2005.02.16,16,Feb,2005,Unprovoked,NO
1388,2005.02.13,NoDoc,NotDoc,2005.02.13,13,Feb,2005,Unprovoked,NO
1389,2005.02.04,NoDoc,NotDoc,2005.02.04,04,Feb,2005,Unprovoked,NO
1390,2005.01.20,NoDoc,NotDoc,2005.01.20,20,Ene,2005,Unprovoked,NO
1391,2005.01.19,NoDoc,NotDoc,2005.01.19,19,Ene,2005,Provoked,NO
1392,2005.01.14,14,Afternoon,2005.01.14,14,Ene,2005,Provoked,NO
1393,2005.01.08,12,Afternoon,2005.01.08,08,Ene,2005,Unprovoked,NO
1394,2004.12.26,NoDoc,NotDoc,2004.12.26,26,Dic,2004,Invalid,NO
1395,2004.12.16,15,Afternoon,2004.12.16,16,Dic,2004,Unprovoked,YES
1396,2004.12.11,13,Afternoon,2004.12.11,11,Dic,2004,Unprovoked,YES
1397,2004.11.27,18,Sunset,2004.11.27,27,Nov,2004,Unprovoked,NO
1398,2004.11.26,NoDoc,NotDoc,2004.11.26,26,Nov,2004,Unprovoked,NO
1399,2004.11.15,07,Morning,2004.11.15,15,Nov,2004,Unprovoked,YES
1400,2004.11.11.b,13,Afternoon,2004.11.11,11,Nov,2004,Unprovoked,NO
1401,2004.11.11.a,09,Morning,2004.11.11,11,Nov,2004,Unprovoked,NO
1402,2004.11.00,NoDoc,NotDoc,2004.11.00,NotDoc,Nov,2004,Unprovoked,NO
1403,2004.10.31,14,Afternoon,2004.10.31,31,Oct,2004,Unprovoked,NO
1404,2004.10.30.x,NoDoc,NotDoc,2004.10.30,30,Oct,2004,Invalid,NO
1405,2004.10.30.a,NoDoc,Morning,2004.10.30,30,Oct,2004,Unprovoked,NO
1406,2004.10.21,NoDoc,Afternoon,2004.10.21,21,Oct,2004,Unprovoked,NO
1407,2004.10.10,09,Morning,2004.10.10,10,Oct,2004,Unprovoked,NO
1408,2004.10.09.b,12,Afternoon,2004.10.09,09,Oct,2004,Unprovoked,NO
1409,2004.10.09.a,NoDoc,Morning,2004.10.09,09,Oct,2004,Unprovoked,NO
1410,2004.10.06,16,Afternoon,2004.10.06,06,Oct,2004,Unprovoked,NO
1411,2004.10.02,15,Afternoon,2004.10.02,02,Oct,2004,Unprovoked,NO
1412,2004.10.01,14,Afternoon,2004.10.01,01,Oct,2004,Unprovoked,NO
1413,2004.09.25,12,Afternoon,2004.09.25,25,Sep,2004,Boat,NO
1414,2004.09.20,09,Morning,2004.09.20,20,Sep,2004,Unprovoked,NO
